eGRID2019 Plant file sequence number,Data Year,Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Utility name,Utility ID,Plant county name,Plant latitude,Plant longitude,Number of units,Plant primary coal/oil/gas/ other fossil fuel category
SEQPLT19,YEAR,PSTATABB,PNAME,ORISPL,UTLSRVNM,UTLSRVID,CNTYNAME,LAT,LON,NUMUNT,PLFUELCT
10087,2019,SC,Seabrook Solar,61701,Dominion Energy Inc,5248,Beaufort,32.56445,-80.742047,1,SOLAR
10088,2019,SC,Sediver,7957,Central Electric Power,59159,York,34.965278,-81.1872,4,OIL
10089,2019,SC,Seneca City of,56545,City of Seneca - (SC),16921,Oconee,34.6875,-82.9525,5,OIL
10090,2019,SC,"Shaw Creek Solar, LLC",61790,Shaw Creek Solar,56622,Aiken,33.674689,-81.754444,1,SOLAR
10091,2019,SC,Shem Solar,62308,Shem Solar,61829,Lancaster,34.757347,-80.648572,1,SOLAR
10092,2019,SC,Shining Sun Solar,62309,Shining Sun Solar,61830,Orangeburg,33.5425,-80.572194,1,SOLAR
10093,2019,SC,Shorthorn Holdings,60028,"Shorthorn Holdings, LLC",59770,Marlboro,34.680287,-79.54074,1,SOLAR
10094,2019,SC,Shorthorn Solar,62310,Shorthorn Solar,61831,Lee,34.246975,-80.157819,1,SOLAR
10095,2019,SC,Snoopy Solar,62311,Snoopy Solar,61832,Anderson,34.520281,-82.738819,1,SOLAR
10096,2019,SC,Sonoco Products Co,57919,Sonoco Products Co,57302,Darlington,34.385278,-80.067778,3,BIOMASS
10097,2019,SC,South Solar,61949,"South Solar, LLC",61556,Florence,33.995392,-79.606062,1,SOLAR
10098,2019,SC,Southard Solar,62312,Southard Solar,61833,Colleton,32.967744,-80.649019,1,SOLAR
10099,2019,SC,"Southern Current One, LLC",61748,"Southern Current One, LLC",61375,Allendale,32.947262,-81.215942,1,SOLAR
10100,2019,SC,Spartanburg Water System,54675,Spartanburg Commissioners PW,17664,Spartanburg,35.1103,-81.9675,5,HYDRO
10101,2019,SC,Spillway,3321,South Carolina Public Service Authority,17543,Berkeley,33.453759,-80.163986,1,HYDRO
10102,2019,SC,St Stephen,6789,US Army Corps of Engineers,50118,Berkeley,33.4261,-79.93,3,HYDRO
10103,2019,SC,St. Matthews Solar,60293,"St. Matthews Solar, LLC",60073,Calhoun,33.6867,-80.7586,1,SOLAR
10104,2019,SC,Stamey Solar,62313,Stamey Solar,61834,Darlington,34.381056,-80.134325,1,SOLAR
10105,2019,SC,Substation 20 Plant,59728,City of Orangeburg - (SC),14164,Orangeburg,33.440183,-80.8417,1,GAS
10106,2019,SC,Swamp Fox Solar,61521,"Swamp Fox Solar, LLC",61126,Lexington,33.791505,-81.256166,1,SOLAR
10107,2019,SC,Tarpon Solar I,62314,Tarpon Solar I,61835,Anderson,34.588481,-82.778522,1,SOLAR
10108,2019,SC,Tedder Solar,62315,Tedder Solar,61836,Darlington,34.301806,-79.924456,1,SOLAR
10109,2019,SC,Ten Governors Solar,62316,Ten Governors Solar,61837,Newberry,34.2278,-81.885158,1,SOLAR
10110,2019,SC,Thermal Kem,56129,Central Electric Power,59159,York,34.8894,-81.0725,1,OIL
10111,2019,SC,Thomas Solar,62352,Thomas Solar,61862,Lee,34.087886,-80.115475,1,SOLAR
10112,2019,SC,Topaz Solar (SC),62349,Topaz Solar,61861,Dillon,34.409661,-79.391117,1,SOLAR
10113,2019,SC,Trask East Solar,62346,Trask East Solar,61860,Beaufort,32.470606,-80.748189,1,SOLAR
10114,2019,SC,TWE Bowman Solar Project,62828,"TWE Bowman Solar Project, LLC",62828,Orangeburg,33.316159,-80.68244,1,SOLAR
10115,2019,SC,Ulmer Solar,62343,Ulmer Solar,61859,Orangeburg,33.51645,-80.572678,1,SOLAR
10116,2019,SC,Union Renewable Energy Facility,60241,Lockhart Power Co,11118,Union,34.61577,-81.818661,2,BIOMASS
10117,2019,SC,Upper Pacolet Hydro,58257,Lockhart Power Co,11118,Spartanburg,34.921389,-81.745556,1,HYDRO
10118,2019,SC,Urquhart,3295,"Dominion Energy South Carolina, Inc",17539,Aiken,33.435,-81.9111,4,GAS
10119,2019,SC,V C Summer,6127,"Dominion Energy South Carolina, Inc",17539,Fairfield,34.2983,-81.3153,3,NUCLEAR
10120,2019,SC,Valenite,56131,Central Electric Power,59159,Oconee,34.65724,-83.03832,1,OIL
10121,2019,SC,Vincent Solar,61950,"Vincent Solar, LLC",61557,Lee,34.091583,-80.108313,1,SOLAR
10122,2019,SC,W S Lee,3264,"Duke Energy Carolinas, LLC",5416,Anderson,34.6022,-82.435,5,GAS
10123,2019,SC,Ware Shoals Hydro Project,10801,Aquenergy Systems Inc,782,Laurens,34.404006,-82.233581,2,HYDRO
10124,2019,SC,Washington Solar (SC),62342,Washington Solar (SC),61863,Marion,34.238081,-79.251953,1,SOLAR
10125,2019,SC,Washington Solar II (SC),62344,Washington Solar II (SC),61864,Marion,34.238081,-79.251953,1,SOLAR
10126,2019,SC,Watauga Solar,61951,"Watauga Solar, LLC",61558,Darlington,34.523944,-79.844619,1,SOLAR
10127,2019,SC,Wateree,3297,"Dominion Energy South Carolina, Inc",17539,Richland,33.8264,-80.6228,2,COAL
